Class,ClassName,S-O1,S-O2,S-H1,S-H2,C-O1,C-O2,C-H1,C-H2,N-O1,N-O2,N-H1,N-H2
0,MD,3.394687172627252,3.4413033867998326,2.4840565613528214,2.6763419064088203,3.3556014364045095,3.3569658919923504,2.500613924619313,2.699432903407678,2.778284362695798,2.8910584566902138,1.8211990555675117,1.9894154920478526
0,MD,2.942337336200592,3.1184207541638767,2.0275808245295677,2.258297367487285,2.93541717648446,3.507706373116199,2.106483562717734,2.675640670942194,2.5681366786057165,2.771825030552974,1.6151448851418875,1.8388306066628333
0,MD,2.8944963292427923,3.2275416341234084,1.9639697044506568,2.2859538490529507,3.0673724912374105,3.195852781340217,2.2217958952163,2.308490849018033,2.7307086992207723,2.7837041868704366,1.7807315912287285,1.8669678626050317
0,MD,3.027050379494865,3.20759380221374,2.1455493469039584,2.2525243616884594,2.9771578728713743,3.2906154439557347,2.487843041672847,2.5150630210791927,2.7248267834855113,2.7724857078080674,1.7733473996935845,1.841200966760554
0,MD,3.0568226968537116,3.198967802276228,2.1315670292064475,2.245639775208839,3.071133504099097,3.1627236679798636,2.2319009834667844,2.267750868151085,2.7591341033012515,2.7625819444859907,1.8089693198061707,1.824783274802792
0,MD,2.9650109611939044,3.037475761220162,2.013227756613742,2.1051969029048094,3.145836136864093,3.273443905124999,2.335554966169711,2.371149510258685,2.7299095223102183,2.748376611747378,1.7855122514281445,1.7923253052947727
0,MD,2.9689566620819847,2.9864612645110604,2.0629089410608987,2.0770787281814815,2.8909736281628367,3.313051950143402,2.16793694040348,2.506858240185711,2.7535423357435413,2.7984093663869127,1.8681954006045518,1.8724002881726434
0,MD,2.841472329620685,3.1833003314170645,1.9356531197505398,2.4053619270288613,3.1394856266592464,3.218855231289534,2.34342932472904,2.6099191558360575,2.6669079474177573,2.8863149516295,1.7207030539869448,1.9328810103056004
0,MD,2.9732591545305973,3.1419791533363175,2.022279407005867,2.2572445591915824,3.3424046732853876,3.356403581216061,2.4364652675546186,2.4562127350862752,2.6829457691127474,2.728441863041981,1.7493501650613,1.8284734069709625
0,MD,3.168132099518579,3.208574449814123,2.287887453525632,2.5990804143004116,3.0268363021478373,3.075898242790227,2.2103639971733164,2.2673696213895074,2.6449115297113432,2.724232185405642,1.7380258916368305,1.7718448013299581
0,MD,2.952244400451969,3.03957579277109,2.020198257597506,2.093946035598816,3.0192974348347996,3.328060997037164,2.2781117180682786,2.391166451755294,2.592064428211614,2.7881737750721354,1.699609955254441,1.8339773717251804
0,MD,3.085766679449371,3.1382198775739085,2.2156197778499815,2.226377775670607,3.2886168825206745,3.361052662485371,2.3680204813303463,2.567238594287644,2.849935788750336,2.891974066273762,1.9110389844270586,1.9546204235093831
0,MD,2.9810444478403877,3.189502939330829,2.043468130409672,2.2432463083665155,3.036163533145077,3.2512303824859914,2.1829104425056007,2.560534905054021,2.7837005945323936,2.8669618065122537,1.8329980905609258,1.9197007579307774
0,MD,2.9900639756710894,3.213949999776599,2.0698327128277785,2.3988050142894064,3.230437206948001,3.2599555994796923,2.3078838389184586,2.615334611947198,2.70926625105378,2.7327947649071636,1.801710622748004,1.8168369279343703
0,MD,2.919212736338343,3.2006558702865884,1.9664488297436074,2.3123998356685633,2.9983643874619372,3.0143161745244975,2.121462938634563,2.230664026696983,2.692303289007388,2.7392825703092414,1.7715227912730886,1.89295245582133
0,MD,3.101013582207114,3.183719200918479,2.1578284907955494,2.2841834728123303,3.069334519091883,3.151149886870664,2.1504687083921965,2.2618041310434016,2.719094722766017,2.791623574914963,1.8273661357650806,1.8870555993817453
0,MD,3.242885906102773,3.245902185833703,2.495230851043647,2.6495954408173343,3.198656905640241,3.391646945069608,2.4736479135074982,2.492967308249348,2.6438731058808416,2.8392685677829075,1.7015592848913628,1.8840968658749995
0,MD,3.0011367846201207,3.080642303156923,2.0608699619335518,2.13691296032384,3.137589839351218,3.2593339810458204,2.336636899477538,2.353522678879471,2.7548310293010707,2.874725899977247,1.8261883802061607,1.9312309545986475
0,MD,2.9621670202345105,3.0278988713854034,2.0744807797661085,2.5296672861105662,3.1539158165981536,3.337118209630279,2.3755715038350247,2.4403126000748347,2.7162594865347454,2.794566268476917,1.7860782774783415,1.8552403288000179
0,MD,2.9622888110378436,2.9729900773463744,2.123347828312639,2.151849901828656,2.9918412391034392,3.097134966384255,2.222923525450212,2.3203114015148922,2.7944613076584197,2.8620702297462923,1.8644841109540191,2.102677578707683
0,MD,3.114160721607027,3.165378966253487,2.2508136306678064,2.347404311148805,3.18936623798522,3.2654751568493077,2.389905019033184,2.5533511313565938,2.681383784541111,2.7122287882846456,1.7425926087298782,1.7583915946113933
0,MD,2.9779518129076568,3.143981711142735,2.0593010950320014,2.501997202236645,3.1745976122967146,3.357625500260564,2.3917566765873155,2.5765117892220095,2.6496963977029515,2.839525312442205,1.7510833789400204,1.9162974716885686
0,MD,3.000481294725898,3.007291971192689,2.105239416313499,2.1352257491890625,3.123340039124784,3.4097557097246716,2.240080355701554,2.52567099995229,2.739120661818315,2.8149644757971637,1.801215978165861,1.8581111376879484
0,MD,3.0170366255648933,3.147857843041837,2.0776996895605495,2.2237915819608642,3.000702751023499,3.32694785050803,2.1724872841975382,2.505337103066172,2.7570134203518126,2.7636711092313417,1.8132095852382863,1.8290349914640787
0,MD,3.015802712380238,3.1727529056010657,2.117863782210744,2.355284483878753,3.0028729576856903,3.029816166040442,2.0929648826485368,2.418818513241538,2.6337509373515187,2.6908779236524274,1.6825415299480733,1.7358585771888224
0,MD,3.015080430104644,3.1649677723477687,2.1864612962501764,2.2131509211981,3.078659935751269,3.212527353969147,2.412567719256809,2.506485587431134,2.7238885806875435,2.7639457302921127,1.8221992207220366,1.9267415498711815
0,MD,3.0561964923741396,3.092098963487424,2.165273885678207,2.1701009193122798,2.950103896475512,3.2874824714361597,2.1879252729469525,2.436358963699725,2.729382714094892,2.8058242995597564,1.7852176337914656,1.9243352098841824
